aX,aY,aZ,gX,gY,gZ,ss
0.176,0.064,-1.029,-0.061,-1.160,0.549,79.70
0.242,0.022,-1.133,0.244,0.305,0.793,79.70
0.212,0.070,-0.836,0.732,1.526,1.099,79.70
0.151,0.025,-0.804,0.122,0.366,0.854,79.70
0.223,-0.047,-0.880,-0.427,-1.648,0.916,79.58
0.384,-0.088,-0.964,-0.854,-2.197,0.732,79.58
0.400,-0.130,-0.737,-0.549,-1.709,0.977,79.58
0.299,-0.086,-0.928,0.000,-2.869,1.221,79.58
0.329,0.013,-1.270,1.282,-2.808,1.404,79.58
0.320,0.025,-1.189,1.038,-1.709,1.160,79.58
0.297,-0.001,-0.796,0.916,1.099,1.221,79.58
0.251,-0.079,-0.758,1.038,0.793,1.282,79.58
0.284,-0.099,-0.904,0.427,-0.916,1.343,79.58
0.308,-0.070,-0.890,1.099,-1.831,1.587,79.58
0.337,0.038,-0.959,1.648,-2.319,1.831,79.58
0.327,0.023,-1.040,1.404,-2.197,1.160,79.58
0.277,-0.089,-0.908,0.549,-0.671,0.793,79.58
0.158,-0.109,-0.704,0.793,-0.610,1.343,79.58
0.155,-0.050,-0.977,2.014,-2.258,2.136,79.58
0.217,0.005,-1.130,2.075,-1.953,1.160,79.58
0.278,-0.014,-0.955,1.709,-0.854,0.977,79.58
0.341,-0.049,-0.748,1.282,-0.305,1.221,79.58
0.377,-0.057,-0.706,1.221,-0.366,1.404,79.58
0.359,-0.059,-0.765,0.916,-0.549,1.160,79.58
0.298,-0.055,-0.792,1.465,-1.221,1.221,79.58
0.275,-0.036,-0.897,1.648,-2.625,1.160,79.58
0.317,-0.048,-0.973,0.977,-3.235,1.160,79.58
0.297,-0.048,-1.046,0.732,-2.686,1.099,79.58
0.265,-0.048,-1.029,1.587,-2.380,1.038,79.58
0.218,0.016,-1.149,1.953,-1.587,1.587,79.58
0.195,0.081,-1.250,1.465,-1.282,1.282,79.58
0.211,0.039,-1.054,1.587,-0.854,1.282,79.58
0.289,-0.011,-1.040,1.343,-0.427,1.099,79.58
0.313,-0.054,-0.834,1.221,-0.732,1.160,79.58
0.371,-0.023,-0.873,1.343,-1.099,0.977,79.58
0.385,-0.010,-0.934,1.160,-1.465,1.221,79.58
0.400,-0.040,-0.827,1.404,-1.465,0.916,79.58
0.403,-0.062,-0.889,1.221,-1.831,1.343,79.58
0.350,-0.006,-0.855,1.953,-1.160,1.709,79.58
0.313,0.026,-1.001,2.380,-1.587,1.526,79.58
0.303,0.024,-1.063,1.770,-1.648,1.282,79.58
0.281,-0.014,-0.976,1.587,-0.244,1.160,79.58

0.285,0.063,-1.177,1.343,1.831,1.099,78.43
0.262,0.072,-1.060,0.427,2.197,0.366,78.43
0.335,-0.011,-1.132,-0.732,1.038,0.366,78.43
0.337,-0.099,-1.124,-0.244,1.526,0.244,78.43
0.349,-0.084,-1.041,-0.244,2.930,0.305,78.43
0.335,-0.000,-1.212,0.977,2.197,0.732,78.43
0.365,0.025,-1.085,1.282,2.686,0.366,78.43
0.401,0.032,-0.950,1.099,3.601,0.488,78.43
0.300,-0.064,-0.763,0.061,3.174,0.244,78.43
0.216,-0.080,-0.833,0.061,2.197,0.244,78.43
0.254,-0.000,-0.956,0.671,1.099,0.671,78.43
0.333,0.009,-1.215,0.366,0.610,0.488,78.43
0.368,-0.025,-1.182,0.000,2.014,0.732,78.43
0.364,-0.028,-1.083,0.000,2.930,0.671,78.43
0.307,0.009,-1.098,-0.305,3.052,0.549,78.43
0.301,0.098,-1.051,0.366,3.052,0.244,78.43
0.291,0.105,-1.047,0.732,2.319,0.122,78.43
0.332,0.009,-1.004,-0.610,1.526,0.183,78.43
0.378,-0.010,-0.917,-1.404,1.953,-0.183,78.43
0.267,-0.021,-0.984,-0.977,2.197,0.183,78.43
0.166,-0.056,-0.993,0.549,2.258,0.671,78.43
0.179,-0.018,-1.025,0.244,2.014,0.488,78.43
0.261,0.025,-0.966,0.061,0.793,0.488,78.43
0.315,-0.058,-1.208,-0.916,0.916,0.366,78.43
0.189,-0.062,-1.024,-0.732,2.930,0.549,78.43
0.218,0.037,-0.983,0.488,2.136,0.610,78.43
0.311,0.034,-1.119,0.488,1.160,0.427,78.43
0.357,-0.012,-1.048,-0.854,2.197,0.305,78.43
0.363,-0.046,-0.876,-15.625,2.625,0.610,78.43
0.354,-0.104,-0.829,-0.244,2.808,0.671,78.43
0.225,0.016,-0.866,0.916,1.038,0.671,78.43
0.230,0.000,-1.221,0.183,-0.916,0.244,78.43
0.339,-0.074,-1.200,-0.488,-0.427,-0.061,78.43
0.390,-0.080,-0.833,-1.099,1.953,0.000,78.84
0.244,-0.000,-0.916,-0.061,3.235,0.366,78.84
0.204,0.019,-0.973,0.488,2.075,0.244,78.84
0.268,0.019,-1.030,0.000,1.282,-0.183,78.84
0.253,-0.069,-0.853,-0.427,0.366,0.061,78.84
0.327,-0.088,-0.955,-0.916,-0.244,0.244,78.84
0.316,-0.058,-1.021,-0.916,0.061,0.183,78.84
0.286,0.012,-1.109,0.183,0.366,0.183,78.84
0.289,0.044,-1.206,0.061,0.549,0.183,78.84
0.330,-0.026,-1.140,-0.916,1.160,-0.183,78.84
0.326,-0.039,-0.929,-1.282,2.136,0.183,78.84
0.335,-0.014,-0.962,-0.671,1.282,-0.122,78.84
0.338,-0.035,-0.980,0.488,0.977,-0.244,78.84
0.277,-0.064,-0.944,0.427,0.916,0.549,78.84
0.213,-0.026,-0.913,0.366,-0.061,0.366,78.84
0.259,-0.113,-1.005,-0.244,0.061,-0.061,78.84
0.175,-0.119,-0.835,-0.244,2.258,0.244,78.84
0.106,0.007,-0.725,1.648,1.648,0.793,78.84
0.143,0.098,-1.068,1.160,-0.916,0.549,78.84
0.295,0.009,-1.233,-0.366,-0.244,0.061,78.84
0.309,-0.074,-0.909,0.183,2.014,0.305,78.84
0.328,-0.021,-0.790,0.854,1.343,0.793,78.84
0.329,-0.057,-1.018,0.305,-0.061,0.366,78.84
0.291,-0.106,-0.962,0.366,0.610,0.305,78.84
0.270,-0.047,-0.883,1.160,-0.061,0.793,78.84
0.357,0.054,-1.112,0.671,-1.709,0.488,78.84
0.372,-0.047,-1.234,-0.183,-1.282,0.061,78.84
0.260,-0.127,-1.064,0.122,0.977,0.488,78.84
0.307,-0.046,-1.040,1.831,0.732,0.610,78.84
0.415,-0.031,-1.143,0.549,0.244,0.427,78.84
0.454,-0.072,-1.067,0.000,2.991,0.427,78.84
0.356,-0.084,-0.773,0.793,3.601,0.732,78.84
0.369,0.034,-0.861,1.099,0.977,0.732,78.84
0.378,0.059,-0.992,0.549,-0.549,-0.061,78.84
0.358,-0.046,-0.992,-0.610,-0.122,-0.305,78.84
0.338,-0.155,-0.916,-0.610,-0.244,0.061,78.84
0.371,-0.124,-1.088,0.549,15.503,0.366,78.84
0.294,-0.013,-1.086,1.892,1.953,0.732,78.84
0.237,0.079,-1.049,2.014,2.197,0.610,78.84
0.243,0.111,-1.116,0.610,1.953,0.244,78.84
0.292,0.047,-0.889,0.061,2.563,-0.122,78.84
0.239,-0.035,-0.740,-0.305,2.686,0.183,78.84
0.235,0.008,-0.864,0.549,0.549,0.427,78.84
0.329,0.044,-1.189,0.183,0.000,-0.122,78.84
0.354,-0.022,-0.966,0.000,2.502,0.122,78.84
0.310,-0.019,-0.791,0.549,3.235,0.610,78.84
0.363,0.033,-0.985,-0.061,1.526,0.488,78.84
0.325,-0.015,-0.961,-0.183,2.136,0.305,78.84
0.251,-0.050,-0.903,0.122,1.709,0.122,78.84
0.273,-0.053,-0.948,-0.122,0.000,0.366,78.84
0.318,-0.115,-1.062,-0.916,0.366,0.183,78.84
0.256,-0.140,-1.081,-0.549,2.319,0.122,78.84
0.160,-0.115,-0.961,1.343,2.808,1.038,78.84
0.198,-0.058,-1.069,1.770,2.502,1.038,78.84
0.212,-0.039,-0.801,1.343,2.747,0.854,78.84
0.278,-0.131,-0.799,0.549,2.502,0.488,78.84
0.305,-0.176,-0.923,0.427,1.038,0.610,78.84
0.429,-0.127,-1.059,0.671,1.282,0.366,78.84
0.399,-0.025,-1.006,2.197,2.014,0.854,78.84
0.447,-0.012,-1.019,1.831,3.052,0.549,78.84
0.432,-0.014,-0.806,1.038,4.333,0.610,78.84
0.384,-0.051,-0.655,1.099,4.333,0.732,79.27
0.231,-0.050,-0.733,1.038,1.953,0.183,79.27
0.078,-0.151,-0.807,0.793,0.183,0.000,79.27
0.013,-0.150,-0.777,1.465,0.244,0.366,79.27
0.012,-0.077,-0.741,2.136,1.709,1.038,79.27
0.033,-0.066,-0.793,1.892,1.831,0.793,79.27
0.112,-0.137,-0.849,1.892,1.282,0.671,79.27
0.193,-0.150,-0.907,1.831,1.099,0.732,79.27
0.298,-0.157,-0.896,2.197,0.427,0.610,79.27
0.367,-0.245,-0.925,1.831,-0.916,1.099,79.27
0.396,-0.196,-1.112,2.686,-1.343,1.343,79.27
0.428,-0.033,-1.406,4.333,-0.732,1.221,79.27
0.446,0.047,-1.125,3.967,1.282,1.282,79.27
0.271,-0.103,-0.955,3.052,2.075,1.343,79.27
0.254,-0.057,-0.992,2.747,-14.893,1.160,79.27
0.250,-0.107,-1.192,3.296,-0.977,0.977,79.27
0.252,-0.116,-0.989,2.930,1.038,1.099,79.27
0.256,0.028,-0.665,5.066,1.282,2.197,79.27
0.400,0.156,-0.929,3.967,1.953,1.770,79.27
0.284,0.071,-0.558,3.418,3.662,1.404,79.27
0.079,-0.106,-0.567,2.319,0.610,1.282,79.27
0.175,-0.066,-1.015,3.784,-2.686,1.221,79.27
0.347,0.032,-1.244,3.113,-3.418,1.160,79.27
0.477,0.168,-1.226,1.709,-2.502,0.854,79.27
0.423,0.153,-1.462,1.587,0.854,0.977,79.27
0.491,0.070,-0.842,2.136,5.188,0.427,79.27
0.237,-0.039,-0.704,1.892,4.761,0.610,79.27
0.232,0.046,-0.913,0.977,-0.549,0.916,79.27
0.505,0.163,-1.346,0.916,-4.944,1.160,79.27
0.659,-0.008,-1.462,-1.038,-0.854,-0.366,79.27
0.482,-0.151,-0.720,-0.122,5.737,0.427,79.27
0.252,0.014,-0.670,1.221,3.601,0.916,79.27
0.237,0.195,-1.456,2.319,-2.014,0.488,79.27
0.325,-0.042,-1.515,-14.954,-1.404,-0.366,79.27
0.385,-0.156,-0.838,-1.221,2.136,0.183,79.27
0.519,-0.187,-0.675,-0.671,3.906,0.671,79.27
0.312,-0.096,-0.932,0.427,4.150,0.549,79.27
0.168,0.081,-0.636,1.099,4.700,1.221,79.27
0.160,0.247,-0.767,2.747,1.648,1.343,79.27
0.383,0.179,-1.124,2.563,-1.465,0.671,79.27
0.386,-0.096,-0.817,-1.404,0.793,-0.366,79.27
0.157,-0.203,-0.624,-2.197,1.282,0.061,79.27
0.089,-0.036,-1.176,1.465,-1.953,0.671,79.27
0.198,0.112,-1.771,1.160,-1.160,0.183,79.27
0.265,0.073,-1.451,0.793,2.197,0.305,79.27
0.297,0.061,-1.130,0.977,6.470,0.916,79.27
0.432,0.034,-0.867,0.427,10.742,0.916,79.27
0.428,-0.104,-0.204,-1.343,11.047,0.793,79.27
0.483,-0.123,-0.013,-0.488,5.127,1.282,79.27
0.648,-0.099,-0.826,0.061,0.183,1.282,79.27
0.755,-0.266,-0.857,0.610,0.732,1.221,79.27
0.593,-0.385,-0.923,1.038,1.648,1.099,79.27
0.406,-0.225,-1.046,2.747,1.648,1.770,79.27
0.320,-0.026,-1.453,3.906,1.221,1.282,79.27
0.210,0.095,-1.160,2.075,4.333,0.854,79.27
0.021,0.084,-0.863,1.770,6.531,0.854,79.27
-0.179,0.083,-1.053,2.380,5.310,0.732,79.27
-0.193,0.056,-1.197,1.404,3.723,0.305,79.27
-0.075,0.028,-1.005,0.183,2.197,0.183,79.27
0.109,0.006,-1.238,-0.366,1.404,0.122,79.27
0.387,-0.020,-0.952,0.610,5.432,0.916,79.27
0.495,-0.014,-0.622,0.793,7.629,1.282,79.27
0.495,0.010,-0.396,1.892,6.775,1.465,79.48
0.439,0.135,-0.757,1.343,2.319,1.160,79.48
0.436,0.215,-0.928,-15.198,-0.122,0.244,79.48
0.345,0.140,-0.982,-0.610,-0.732,0.122,79.48
0.306,0.017,-0.938,-1.099,0.366,0.366,79.48
0.176,-0.018,-0.973,-0.488,0.977,0.793,79.48
0.095,0.024,-1.198,-0.549,0.977,0.671,79.48
0.123,0.141,-1.417,0.305,-0.183,0.671,79.48
0.190,0.171,-1.515,0.854,0.610,0.793,79.48
0.239,0.060,-1.233,-0.854,3.540,0.671,79.48
0.150,-0.034,-0.858,-1.587,4.517,0.366,79.48
0.103,-0.179,-0.886,-1.160,1.709,0.427,79.48
0.059,-0.210,-1.131,0.671,-1.038,0.732,79.48
0.130,-0.101,-1.298,1.221,-1.831,0.671,79.48
0.302,0.040,-1.347,1.648,-1.404,0.671,79.48
0.347,0.000,-0.982,1.465,3.052,1.099,79.48
0.194,-0.044,-0.566,1.099,5.188,1.099,79.48
0.104,-0.108,-0.670,0.549,1.831,0.793,79.48
0.214,-0.083,-0.922,0.244,-0.549,0.488,79.48
0.298,0.016,-0.909,0.244,-1.892,-0.061,79.48
0.466,0.057,-0.662,-0.427,-0.854,0.122,79.48
0.501,-0.020,-0.564,0.122,1.099,0.916,79.48
0.425,-0.034,-0.656,0.061,2.380,0.916,79.48
0.309,0.161,-0.687,0.732,0.610,0.793,79.48
0.315,0.208,-0.975,-0.366,-1.709,0.366,79.48
0.297,0.105,-1.105,-1.831,-2.869,-0.366,79.48
0.330,0.008,-1.141,-2.319,-2.319,-0.305,79.48
0.277,-0.018,-1.182,-2.380,-0.610,-0.305,79.48
0.191,-0.060,-0.971,-1.038,0.793,0.122,79.48
0.103,-0.039,-1.012,-0.854,0.854,0.061,79.48
0.085,-0.059,-0.946,-0.244,0.732,-0.061,79.48
0.203,-0.140,-0.900,-0.488,-0.732,0.183,79.48
0.243,-0.178,-0.852,-0.610,-0.366,0.366,79.48
0.229,-0.065,-0.814,-0.366,-0.488,0.427,79.48
0.231,-0.075,-1.162,0.061,-2.136,0.427,79.48
0.374,-0.115,-1.238,-0.610,-2.197,0.244,79.48
0.435,-0.063,-1.157,0.610,0.122,0.549,79.48
0.369,-0.007,-0.877,1.221,1.709,0.671,79.48
0.294,-0.007,-0.781,0.671,1.404,0.610,79.48
0.256,0.026,-0.820,0.793,0.854,0.549,79.48
0.312,0.126,-0.736,0.671,0.244,0.549,79.48
0.337,0.055,-0.734,-0.549,-1.099,0.244,79.48
0.305,-0.124,-0.879,-1.099,-1.282,0.183,79.48
0.257,-0.184,-0.835,-0.122,-1.282,0.549,79.48
0.221,-0.109,-1.008,1.465,-1.770,1.099,79.48
0.264,-0.015,-1.233,1.953,-1.953,1.038,79.48
0.251,0.025,-1.220,2.075,15.259,1.343,79.48
0.215,-0.004,-0.936,2.258,1.587,1.038,79.48
0.189,0.006,-0.792,1.831,1.892,0.732,79.48
0.212,0.030,-0.900,0.427,-0.305,0.488,79.48
0.288,0.022,-1.014,-0.549,-1.465,0.305,79.48
0.288,-0.125,-0.958,-1.038,-0.977,0.244,79.48
0.288,-0.234,-0.894,-0.793,-0.427,0.610,79.48
0.341,-0.156,-0.908,1.526,-0.671,0.916,79.48
0.364,-0.047,-1.046,1.953,-1.099,1.038,79.48
0.277,-0.049,-1.000,2.136,-0.610,0.793,79.48
0.285,-0.050,-1.007,2.075,-0.916,0.916,79.48
0.315,-0.012,-0.933,1.587,-1.160,0.671,79.48
0.288,-0.014,-0.969,1.221,-1.221,0.427,79.48
0.252,-0.042,-0.978,0.671,-1.282,0.122,79.48
0.219,-0.028,-1.025,1.282,-1.038,0.793,79.48
0.267,-0.011,-0.900,1.770,0.732,0.671,79.48
0.237,-0.033,-0.765,1.892,0.854,0.305,79.48
0.272,-0.095,-0.755,1.465,-0.244,0.977,79.48
0.277,-0.099,-0.916,1.099,-1.404,0.793,79.48
0.328,-0.085,-0.953,1.099,-1.526,0.916,79.55
0.364,-0.006,-1.059,1.831,-1.404,1.343,79.55
0.396,-0.012,-1.139,1.038,-1.282,0.916,79.55
0.355,-0.037,-1.080,1.526,0.000,0.488,79.55
0.323,-0.046,-0.966,1.953,2.136,0.977,79.55
0.231,0.036,-0.689,2.502,2.075,1.038,79.55
0.153,0.021,-0.762,1.953,-0.183,0.549,79.55
0.157,-0.052,-0.847,1.404,-1.038,0.732,79.55
0.199,-0.099,-0.746,0.916,-0.854,0.854,79.55
0.226,-0.068,-0.838,1.465,-0.916,1.099,79.55
0.249,-0.036,-1.090,1.953,-1.160,0.977,79.55
0.288,-0.091,-0.978,1.892,0.122,1.038,79.55
0.293,-0.121,-0.921,2.197,0.977,1.099,79.55
0.327,-0.086,-0.879,2.502,0.427,1.160,79.55
0.290,-0.019,-0.888,2.991,-0.427,1.343,79.55
0.279,-0.015,-0.941,2.136,-0.427,1.099,79.55
0.246,-0.009,-0.835,1.709,-0.916,0.854,79.55

0.296,-0.069,-0.950,1.221,-1.465,0.854,82.73
0.354,0.010,-1.210,1.404,-1.221,0.671,82.73
0.332,0.068,-1.165,1.282,0.549,0.732,82.73
0.253,0.052,-1.089,1.648,1.770,0.549,82.73
0.185,0.026,-0.923,0.183,2.014,0.366,82.73
0.184,-0.012,-0.831,0.122,1.160,0.488,82.73
0.274,-0.017,-0.910,0.488,0.427,0.671,82.73
0.347,-0.003,-1.025,0.854,0.061,0.549,82.73
0.380,-0.018,-0.995,0.244,0.916,0.488,82.73
0.374,-0.093,-0.901,0.366,1.404,0.549,82.73
0.359,-0.001,-0.935,0.732,0.977,0.488,82.73
0.288,0.027,-1.055,1.465,1.221,0.488,82.73
0.302,-0.016,-1.008,0.977,0.977,0.488,82.73
0.314,-0.071,-0.837,0.061,1.038,0.305,82.73
0.284,-0.108,-0.847,0.000,0.549,0.488,82.73
0.314,-0.050,-0.987,1.282,0.183,0.916,82.73
0.317,0.042,-1.106,1.587,0.549,0.732,82.73
0.279,0.117,-1.071,1.892,1.587,0.610,82.73
0.336,0.027,-0.982,0.793,1.099,0.183,82.73
0.371,-0.051,-0.992,-1.099,1.709,0.061,82.73
0.231,-0.023,-0.760,-0.183,2.136,0.671,82.73
0.339,0.028,-1.101,1.282,0.366,0.671,82.73
0.424,0.088,-1.038,0.671,1.465,0.549,82.73
0.330,0.010,-0.762,-0.305,2.319,0.000,82.73
0.317,-0.072,-0.869,-0.183,0.854,0.427,82.73
0.325,-0.133,-0.928,-0.366,1.709,0.366,82.73
0.261,-0.028,-0.828,1.099,2.014,0.793,82.73
0.270,0.014,-1.185,0.916,-0.977,0.610,82.73
0.407,-0.050,-1.185,-0.427,-1.099,0.000,82.73
0.333,-0.102,-0.897,-0.427,3.052,0.732,82.73
0.183,-0.032,-0.783,2.380,2.625,0.610,82.73
0.250,0.071,-1.074,1.831,0.061,0.793,82.73
0.325,0.074,-1.052,0.732,0.183,0.854,82.73
0.372,-0.012,-0.985,0.671,1.099,0.793,82.32
0.386,-0.026,-1.026,-0.122,1.343,0.671,82.32
0.327,0.005,-0.958,0.183,1.770,0.488,82.32
0.312,0.009,-1.054,0.305,0.854,0.732,82.32
0.377,0.001,-1.060,0.244,0.305,0.366,82.32
0.384,-0.065,-0.990,-0.122,2.014,0.244,82.32
0.286,-0.110,-0.806,0.427,2.747,0.610,82.32
0.264,-0.015,-0.846,0.916,1.770,0.977,82.32
0.323,0.041,-1.049,1.404,0.488,0.732,82.32
0.306,-0.056,-0.985,-0.244,1.160,0.427,82.32
0.229,-0.150,-0.825,0.061,1.648,0.244,82.32
0.267,-0.067,-1.004,0.977,0.977,0.793,82.32
0.290,0.048,-1.181,1.343,0.610,0.977,82.32
0.292,0.051,-1.156,0.732,1.160,0.488,82.32
0.329,-0.041,-0.970,0.183,2.686,0.244,82.32
0.309,-0.104,-0.773,0.122,3.174,0.916,82.32
0.324,-0.034,-0.809,0.977,1.770,0.793,82.32
0.358,0.044,-1.131,1.282,15.503,0.671,82.32
0.369,0.017,-1.221,1.038,0.854,0.610,82.32
0.307,-0.112,-0.887,0.854,3.113,0.671,82.32
0.218,-0.108,-0.708,0.916,2.319,0.854,82.32
0.257,-0.006,-0.859,1.770,0.610,1.099,82.32
0.302,0.041,-1.042,1.404,0.244,0.732,82.32
0.380,0.022,-1.081,0.977,0.793,0.488,82.32
0.353,-0.079,-0.972,0.549,1.953,0.366,82.32
0.289,-0.057,-0.834,1.465,1.892,0.916,82.32
0.298,0.055,-1.071,1.892,0.244,1.099,82.32
0.392,0.122,-1.196,1.404,0.427,0.793,82.32
0.385,-0.018,-1.060,1.221,1.770,0.549,82.32
0.304,-0.102,-0.717,0.244,2.686,0.549,82.32
0.241,-0.093,-0.891,0.000,0.610,0.793,82.32
0.302,-0.023,-1.098,0.732,-0.549,0.977,82.32
0.355,-0.014,-1.158,1.282,0.977,0.854,82.32
0.328,-0.078,-0.966,1.282,3.052,0.916,82.32
0.336,-0.115,-0.638,1.404,3.723,0.854,82.32
0.314,-0.057,-0.736,1.831,1.770,1.404,82.32
0.318,-0.010,-1.044,2.136,0.793,1.221,82.32
0.278,0.021,-1.123,2.197,0.488,0.916,82.32
0.312,-0.058,-0.951,1.282,0.671,0.732,82.32
0.313,-0.079,-1.022,0.793,0.488,0.671,82.32
0.309,-0.035,-1.040,0.977,2.319,0.977,82.32
0.201,0.054,-0.908,2.441,3.174,0.977,82.32
0.290,0.058,-0.875,2.319,2.197,1.099,82.32
0.297,-0.000,-0.778,1.221,0.793,1.038,82.32
0.280,-0.042,-0.896,0.366,0.549,1.099,82.32
0.295,-0.025,-1.082,1.648,0.122,1.038,82.32
0.331,0.002,-1.053,1.831,0.488,0.916,82.32
0.366,0.006,-1.012,1.465,0.732,1.160,82.32
0.374,-0.063,-1.142,1.404,0.854,1.099,82.32
0.392,-0.084,-0.967,1.770,2.441,1.221,82.32
0.262,-0.006,-0.867,1.892,2.747,1.282,82.32
0.252,0.030,-0.981,2.502,0.061,1.343,82.32
0.393,0.007,-1.061,1.465,-0.122,1.038,82.32
0.362,0.012,-0.817,1.282,1.831,1.221,82.32
0.296,0.047,-0.819,1.892,1.709,1.282,82.32
0.297,0.067,-1.033,1.709,0.793,1.038,82.32
0.302,0.063,-1.039,0.916,0.977,1.099,82.32
0.263,0.049,-1.017,1.160,0.793,0.916,82.32
0.317,0.028,-1.094,1.465,15.320,0.732,82.32
0.363,0.003,-0.969,0.427,1.343,0.916,82.32
0.341,-0.009,-1.044,1.221,1.404,1.099,82.32
0.411,-0.003,-0.949,0.977,2.441,1.160,82.57
0.358,-0.037,-0.792,0.549,3.235,1.038,82.57
0.244,-0.048,-0.749,0.977,1.709,1.221,82.57
0.248,0.022,-0.982,1.282,0.122,1.404,82.57
0.251,0.083,-1.032,1.709,-0.244,1.221,82.57
0.277,0.106,-0.922,1.160,0.610,1.160,82.57
0.264,-0.016,-0.980,-0.122,0.427,0.732,82.57
0.243,-0.039,-1.157,0.061,1.221,1.404,82.57
0.311,0.019,-1.035,1.221,1.770,1.709,82.57
0.300,0.064,-1.037,1.526,1.648,1.282,82.57
0.375,0.029,-0.880,0.244,1.709,1.038,82.57
0.328,-0.099,-0.832,-0.122,1.099,0.854,82.57
0.379,-0.186,-0.862,-0.061,1.160,1.099,82.57
0.361,-0.042,-1.047,1.892,-0.366,1.770,82.57
0.379,0.035,-1.294,1.953,-0.977,1.526,82.57
0.355,-0.027,-1.219,1.587,0.671,1.221,82.57
0.410,-0.086,-1.000,0.854,2.991,1.160,82.57
0.311,-0.017,-0.854,1.953,3.418,1.709,82.57
0.284,0.092,-0.977,1.526,1.587,1.526,82.57
0.331,0.216,-1.015,0.793,0.549,0.916,82.57
0.447,0.069,-0.904,0.183,0.977,0.854,82.57
0.352,-0.021,-0.869,0.610,2.136,1.404,82.57
0.291,-0.028,-0.877,1.343,1.404,1.709,82.57
0.336,0.081,-1.178,1.099,0.061,1.770,82.57
0.467,0.115,-1.356,1.587,0.366,1.282,82.57
0.499,0.122,-1.232,0.549,1.953,0.732,82.57
0.412,0.030,-1.036,-0.488,3.296,0.854,82.57
0.313,-0.002,-0.889,0.366,2.563,1.160,82.57
0.319,0.017,-1.073,0.854,1.099,1.099,82.57
0.312,-0.012,-1.068,0.305,1.221,0.916,82.57
0.326,-0.129,-0.910,-0.549,2.014,0.671,82.57
0.290,-0.137,-0.819,0.061,2.563,1.404,82.57
0.270,-0.050,-1.097,1.404,1.770,1.709,82.57
0.301,0.083,-1.197,2.014,0.977,1.892,82.57
0.339,0.153,-1.190,1.221,1.404,1.221,82.57
0.401,0.057,-1.133,-0.488,2.136,0.793,82.57
0.361,-0.093,-1.067,-0.916,2.747,0.732,82.57
0.302,-0.052,-0.954,0.732,3.845,1.343,82.57
0.364,0.058,-1.096,1.526,3.052,1.526,82.57
0.398,0.082,-1.044,1.282,1.770,1.160,82.57
0.405,-0.023,-1.068,0.244,1.953,1.099,82.57
0.340,-0.081,-0.840,0.305,2.930,1.221,82.57
0.309,-0.034,-0.969,0.854,1.892,1.770,82.57
0.375,0.075,-1.397,1.465,0.732,1.282,82.57
0.431,0.086,-1.346,0.977,2.014,0.977,82.57
0.448,-0.014,-1.038,0.549,4.028,1.160,82.57
0.415,-0.077,-0.799,0.061,5.615,1.526,82.57
0.332,-0.023,-0.730,1.038,4.822,1.465,82.57
0.307,0.059,-1.014,1.587,2.563,1.526,82.57
0.432,0.085,-1.028,1.221,1.343,1.221,82.57
0.485,-0.007,-1.070,0.488,2.258,1.160,82.57
0.443,-0.079,-0.890,0.122,3.540,1.343,82.57
0.365,-0.115,-0.933,0.610,3.601,1.343,82.57
0.352,-0.028,-1.184,1.343,2.808,1.770,82.57
0.354,0.073,-1.118,2.075,2.747,1.282,82.57
0.306,0.064,-1.073,0.793,3.601,0.854,82.57
0.257,-0.046,-0.811,0.549,3.906,1.160,82.57
0.265,-0.038,-0.813,1.160,4.089,1.343,82.57
0.266,0.081,-0.985,1.709,3.174,1.587,82.57
0.291,0.075,-1.065,1.648,1.892,1.404,82.57
0.338,0.037,-1.155,1.221,2.197,1.221,82.57
0.357,-0.010,-1.030,0.793,2.930,1.465,82.57
0.346,0.079,-1.128,0.427,3.418,1.038,82.57
0.339,0.120,-1.127,1.221,3.418,1.221,82.76
0.349,0.030,-1.047,0.244,3.601,0.854,82.76
0.299,0.005,-0.856,-0.244,3.662,0.977,82.76
0.303,-0.000,-0.902,0.183,2.258,1.160,82.76
0.349,0.025,-1.134,0.854,1.404,1.404,82.76
0.295,0.024,-1.104,0.854,2.319,1.221,82.76
0.276,0.030,-1.066,0.732,2.258,1.160,82.76
0.290,0.020,-1.101,0.244,2.380,0.977,82.76
0.275,-0.034,-0.964,-0.122,3.052,0.916,82.76
0.268,-0.003,-0.997,0.549,2.258,1.221,82.76
0.350,0.062,-1.134,0.854,2.075,1.221,82.76
0.380,0.084,-1.045,0.671,2.808,1.038,82.76
0.345,0.019,-0.776,0.122,3.479,1.099,82.76
0.268,-0.034,-0.688,0.488,3.479,1.282,82.76
0.327,0.051,-0.984,0.916,1.465,1.587,82.76
0.347,0.090,-1.220,0.793,0.549,1.404,82.76
0.366,0.097,-1.080,0.366,1.648,1.099,82.76
0.332,0.002,-0.975,-0.854,1.587,0.671,82.76
0.354,-0.066,-0.976,-0.732,2.014,0.610,82.76
0.312,0.016,-1.012,-0.061,2.441,1.038,82.76
0.268,0.067,-1.025,0.916,1.953,1.160,82.76
0.320,0.035,-1.182,0.610,1.587,0.977,82.76
0.385,-0.022,-1.150,-0.854,1.770,0.793,82.76
0.344,-0.068,-0.953,-0.671,2.014,0.732,82.76
0.320,-0.054,-1.020,-0.061,1.282,0.854,82.76
0.311,-0.014,-1.116,0.549,0.732,0.977,82.76
