aX,aY,aZ,gX,gY,gZ,ss
0.247,0.010,-1.115,0.793,0.244,0.793,0.08
0.263,-0.012,-1.127,0.366,-0.244,0.732,0.08
0.275,-0.034,-1.040,0.244,0.793,0.549,0.08
0.272,-0.040,-0.931,0.549,1.648,0.977,0.08
0.273,-0.036,-0.937,0.854,1.831,0.671,0.08
0.290,-0.029,-0.948,1.404,1.709,0.854,0.08
0.300,-0.034,-0.932,1.160,1.465,1.038,0.08
0.282,-0.024,-0.868,1.160,1.221,1.038,0.08
0.280,-0.036,-0.871,1.099,0.610,0.854,0.08
0.302,-0.054,-0.897,0.793,0.244,0.854,0.08
0.288,-0.031,-0.976,0.610,0.854,0.916,0.08
0.194,-0.002,-0.876,-0.305,0.549,0.793,0.08
-0.989,-3.065,4.000,-13.367,-0.427,6.165,0.08
0.092,1.844,-4.000,-45.532,-95.703,34.607,0.08
2.207,0.681,-4.000,-105.103,-69.763,-46.936,0.08
-0.346,0.554,4.000,-149.658,20.691,-12.268,0.08
0.960,0.358,-4.000,174.500,50.171,23.987,0.08
-0.452,-0.364,1.445,32.043,45.105,23.254,0.08
-0.983,-0.229,1.785,-18.921,21.057,16.479,0.08
0.017,0.069,-1.599,-52.551,-12.390,1.709,0.08
0.584,-0.166,-1.936,-90.271,-10.315,-7.263,0.08
0.165,0.132,-0.855,-96.252,-3.906,-8.972,0.08
0.379,0.070,0.953,-109.436,-6.775,-22.156,0.08
-0.161,-0.285,0.433,-22.522,-9.460,-16.357,0.08
0.729,-0.108,-2.318,9.583,-11.047,-5.737,0.08
0.876,0.045,-2.841,10.620,-1.770,-10.193,0.08
0.534,-0.016,-1.646,-9.216,25.635,-21.057,0.08
-0.171,-0.102,-0.188,-26.611,21.729,-18.494,0.08
-0.001,-0.052,-0.131,-32.715,17.883,3.052,0.08
0.251,0.038,-0.867,-16.235,8.667,28.748,0.08
0.430,-0.092,-0.728,-8.179,4.517,0.122,0.08
0.508,-0.066,-1.255,3.723,0.549,10.437,0.08
0.232,-0.068,-0.565,8.789,2.869,2.319,0.08
0.096,-0.141,-1.191,19.775,4.089,0.732,0.08
0.268,-0.204,-0.564,23.010,3.296,4.272,0.08
0.363,0.019,-1.630,19.653,3.845,5.981,0.08
0.274,0.178,-1.819,21.118,4.761,4.028,0.08
0.065,-0.059,-0.692,21.545,3.357,0.549,0.08
0.064,-0.183,-0.596,27.588,-0.854,0.122,0.08
0.255,-0.119,-1.259,28.259,-1.709,1.770,0.08
0.426,-0.005,-1.126,32.532,0.671,2.930,0.08
0.364,-0.020,-0.925,29.297,3.479,1.709,0.08
0.234,-0.052,-0.837,33.081,3.784,-0.122,0.08
0.144,-0.030,-0.728,34.729,1.465,-1.404,0.08
0.099,0.018,-0.682,32.288,-0.244,-0.854,0.08
0.228,-0.002,-0.866,33.569,-2.136,0.183,0.08
0.341,-0.078,-1.207,35.583,-2.625,1.099,0.08
0.422,-0.125,-1.289,27.954,-0.916,0.977,0.08
0.330,-0.086,-0.988,16.541,1.709,1.099,0.08
0.261,-0.026,-1.018,11.230,1.587,0.732,0.08
0.211,-0.005,-1.053,7.263,0.122,0.671,0.08
0.242,-0.003,-1.095,7.996,0.244,0.427,0.08
0.242,-0.043,-0.934,6.165,0.183,-0.549,0.08
0.272,-0.073,-0.919,8.118,0.488,0.183,0.08
0.297,-0.052,-1.007,8.423,0.549,0.549,0.08
0.282,-0.070,-1.054,6.470,1.465,0.366,0.05
0.295,-0.066,-1.000,6.104,1.709,0.549,0.05
0.275,-0.020,-0.895,5.371,1.343,0.854,0.05
0.284,-0.009,-0.932,4.333,1.038,0.366,0.05
0.271,-0.047,-0.890,4.272,0.793,0.549,0.05
0.257,-0.063,-0.893,4.517,0.610,0.854,0.05
0.250,-0.039,-0.899,4.700,0.000,1.282,0.05
0.221,0.003,-1.070,5.310,-0.732,1.343,0.05
0.260,-0.020,-1.175,4.089,-1.160,0.916,0.05
0.290,-0.038,-1.176,3.235,-0.061,0.610,0.05
0.268,-0.060,-0.981,2.136,2.136,0.610,0.05
0.234,-0.042,-0.857,1.343,2.075,0.732,0.05
0.245,-0.040,-0.910,2.014,1.160,1.099,0.05
0.274,-0.033,-0.974,2.502,0.916,1.038,0.05
0.292,-0.030,-0.955,2.502,0.916,0.793,0.05
0.298,-0.031,-0.933,2.625,0.732,0.732,0.05
0.288,-0.048,-0.915,1.831,0.732,0.488,0.05
0.268,-0.072,-0.901,1.587,1.221,0.916,0.05
0.255,-0.046,-0.908,2.502,1.160,1.099,0.05
0.247,-0.010,-0.967,3.052,0.610,1.526,0.05
0.247,0.022,-1.061,2.686,-0.610,1.099,0.05
0.274,-0.003,-1.176,2.441,-0.671,0.671,0.05
0.290,-0.037,-1.148,1.282,15.442,0.549,0.05
0.278,-0.054,-1.002,0.732,1.465,0.488,0.05
0.255,-0.052,-0.939,1.038,2.197,0.549,0.05
0.253,-0.058,-0.910,1.221,2.197,0.854,0.05
0.265,-0.045,-0.902,1.587,1.953,1.038,0.05
