aX,aY,aZ,gX,gY,gZ,S
0.020,-0.055,-0.986,-0.549,0.305,-0.183,0.135
0.017,-0.057,-0.983,-0.427,0.366,-0.122,0.135
0.017,-0.058,-0.983,-0.549,0.427,-0.183,0.135
0.020,-0.056,-0.986,-0.549,0.488,-0.305,0.135
0.017,-0.053,-0.986,-0.488,0.610,-0.122,0.135
0.019,-0.055,-0.987,-0.671,0.549,0.122,0.135
0.020,-0.053,-0.988,-0.366,0.366,0.122,0.135
0.018,-0.056,-0.985,-0.610,0.305,-0.122,0.135
0.020,-0.054,-0.983,-0.671,0.488,-0.061,0.135
0.017,-0.054,-0.986,-0.732,0.427,-0.183,0.135
0.020,-0.057,-0.986,-0.610,0.549,-0.183,0.135
0.017,-0.056,-0.985,-0.549,0.488,-0.061,0.135
0.018,-0.055,-0.987,-0.671,0.610,-0.061,0.135
0.020,-0.056,-0.985,-0.671,0.427,0.122,0.135
0.017,-0.107,-1.003,-0.610,0.305,-0.244,0.135
-0.061,0.048,-1.047,0.610,-0.061,0.244,0.135
0.155,0.381,-0.996,-0.793,-0.244,2.136,0.135
-0.315,-0.264,-0.900,-14.526,11.169,0.122,0.135
0.375,-1.625,0.523,-29.907,-2.686,-12.024,0.135
-0.113,1.862,-1.600,-42.236,-4.089,-4.333,0.135
-1.318,-1.393,-0.486,-64.209,-3.662,-14.954,0.135
0.579,-1.287,-2.126,-20.081,-23.560,10.376,0.135
0.951,-1.325,0.447,-6.287,-13.367,7.324,0.135
0.715,-1.485,-0.182,29.114,0.549,10.254,0.135
0.234,-0.107,-0.039,69.092,5.920,9.033,0.135
-0.669,-0.187,-0.081,74.768,-0.732,5.005,0.135
-0.794,1.018,-2.490,31.067,12.268,5.859,0.135
0.323,1.598,-2.907,-32.837,4.211,17.883,0.135
-0.392,-1.166,-1.844,-64.514,8.667,4.395,0.135
-0.602,-1.919,-0.574,-43.213,0.305,14.771,0.135
-0.262,-0.711,-2.095,-51.208,-15.137,-4.639,0.135
0.786,-1.342,-0.181,5.188,-17.822,4.578,0.135
0.421,-0.689,-0.708,5.127,0.366,2.869,0.135
-1.414,-0.490,-0.133,44.617,-3.967,1.770,0.135
0.365,0.164,-2.089,56.519,-16.113,1.526,0.135
0.987,-0.736,-1.332,38.940,-7.996,9.399,0.135
0.859,1.060,-1.729,-33.630,18.433,0.122,0.135
-0.277,-0.470,-2.146,-48.340,22.278,-15.015,0.135
0.819,-0.821,-0.826,-12.024,8.911,-28.198,0.135
1.015,-2.064,1.624,-9.155,20.081,-41.077,0.135
-1.866,-1.364,-0.824,32.471,11.536,-16.418,0.135
0.373,-1.158,-1.887,61.035,5.554,22.766,0.135
-0.388,0.778,-1.236,47.913,-16.785,16.724,0.135
1.149,0.835,-3.236,15.381,-11.963,0.488,0.135
1.722,0.916,-2.206,-28.320,9.460,-1.648,0.135
-1.877,0.749,0.303,-94.055,20.081,-16.663,0.135
0.375,-1.869,-1.747,-55.542,-7.629,-25.330,0.135
0.159,-0.710,-0.639,-35.339,-3.113,-5.066,0.135
-0.649,-1.372,0.211,2.686,-12.451,-4.700,0.135
-0.049,-1.016,-1.017,38.147,-12.085,0.549,0.135
0.480,-0.535,-0.472,74.951,-11.597,12.268,0.135
0.363,0.007,-0.356,71.045,-13.306,5.798,0.135
1.000,-0.150,-0.769,31.067,11.658,6.531,0.135
0.122,1.671,-2.931,-22.461,17.944,-5.310,0.027
0.521,0.299,-2.667,-36.804,25.208,-11.353,0.027
-1.118,-0.421,-1.497,-80.505,37.537,-33.020,0.027
-1.066,-1.208,0.288,-69.824,12.085,-19.470,0.027
-0.414,-1.713,-0.236,-13.733,11.597,-20.081,0.027
0.054,-1.095,-0.184,28.687,11.963,-3.906,0.027
-1.610,-0.786,1.664,46.936,-6.470,-7.751,0.027
-1.375,-1.004,0.214,72.693,-19.775,20.691,0.027
-0.323,1.031,-3.189,64.758,-23.071,40.588,0.027
1.528,0.835,-2.629,20.142,-37.598,7.324,0.027
1.708,2.688,-0.973,-23.804,2.136,0.793,0.027
-0.731,-0.052,-0.203,-70.923,13.000,-29.480,0.027
0.138,-0.945,-1.741,-65.552,14.465,-42.175,0.027
1.399,-1.684,-2.480,-21.545,-5.249,-29.419,0.027
-0.204,-2.459,2.250,-0.427,-10.071,-21.362,0.027
0.864,-1.863,-3.531,19.104,16.907,7.324,0.027
0.928,0.859,-0.138,78.064,-9.888,-10.925,0.027
0.505,0.177,-0.556,35.950,33.997,2.197,0.027
-2.027,2.261,-0.862,-17.395,23.865,1.465,0.027
1.210,-0.015,-3.613,-4.028,2.930,-11.536,0.027
-1.209,-0.146,1.934,-40.222,-9.888,-1.648,0.027
-0.657,-0.433,0.693,-38.452,-13.428,-4.456,0.027
1.131,0.602,-1.833,-20.569,-16.663,-4.822,0.027
0.111,-0.741,0.728,-23.315,-11.597,-21.606,0.027
-0.858,-1.359,-0.753,4.395,5.371,-19.958,0.027
0.434,-1.013,-0.125,38.391,-5.615,-4.578,0.027
-0.043,-0.073,-0.439,53.772,-10.498,10.315,0.027
0.711,0.461,-2.616,40.955,5.188,3.357,0.027
0.871,1.317,-0.560,13.733,13.367,-21.362,0.027
-0.413,1.526,-2.187,5.493,21.423,-20.447,0.027
-0.833,-0.796,-2.457,-13.794,25.391,-23.315,0.027
-1.652,-0.875,-1.318,-21.545,4.700,-4.578,0.027
-0.209,-0.271,-0.587,-2.197,-21.057,26.001,0.027
0.603,0.146,-0.731,3.235,-23.926,14.160,0.027
0.442,-0.006,-0.414,17.151,-21.118,-3.235,0.027
0.383,-0.031,-0.987,8.606,6.226,-7.812,0.027
-0.685,-0.151,-0.886,4.700,10.864,-7.263,0.027
-0.058,-0.198,-1.432,10.986,0.366,-2.075,0.027
0.543,0.381,-1.309,19.043,-10.010,2.747,0.027
0.228,0.650,-0.798,6.836,-4.822,0.366,0.027
-0.082,0.467,-1.085,-5.920,4.883,-7.446,0.027
-0.032,0.056,-0.974,-10.071,4.944,-9.216,0.027
-0.196,-0.289,-0.716,-18.311,10.559,-7.935,0.027
-0.418,-0.743,-0.844,-8.423,5.005,-4.395,0.027
0.035,-0.380,-1.064,15.991,-8.972,2.747,0.027
0.611,0.352,-1.114,15.320,-10.742,8.362,0.027
0.226,0.692,-1.082,5.310,-3.052,-2.014,0.027
0.126,0.297,-0.932,-1.953,7.080,-10.254,0.027
-0.189,0.135,-0.936,-13.550,13.123,-11.841,0.027
-0.370,-0.251,-1.011,-13.123,9.399,-9.216,0.027
-0.299,-0.428,-1.132,3.906,-3.052,-4.089,0.027
0.368,0.036,-0.879,28.442,-13.367,3.845,0.027
0.446,0.559,-0.885,12.207,-10.254,4.456,0.027
0.063,0.419,-0.830,4.456,15.198,-4.761,0.027
-0.020,0.130,-0.881,-5.249,9.399,-7.385,0.027
-0.262,-0.042,-1.032,-7.812,11.475,-6.531,0.027
-0.352,-0.217,-1.074,-7.324,3.235,-0.366,0.027
0.044,-0.491,-0.786,12.390,-13.855,1.099,0.027
0.333,0.135,-1.020,17.700,-14.465,8.301,0.027
0.282,0.530,-0.957,5.920,-8.057,5.310,0.027
0.274,0.138,-0.848,1.160,2.197,-4.333,0.027
0.044,0.083,-0.952,-5.310,12.268,-5.920,0.027
-0.124,0.045,-1.134,-5.188,9.460,-2.686,0.027
0.143,0.099,-0.913,-2.014,3.357,0.977,0.027
-0.176,-0.124,-0.779,-2.380,-0.305,-1.038,0.390
-0.029,-0.111,-1.137,7.385,-2.808,-0.061,0.390
-0.085,0.520,-0.990,8.545,-2.991,1.099,0.390
0.007,0.270,-0.913,0.366,-3.540,-1.038,0.390
-0.048,0.309,-0.943,-2.869,-1.770,-0.610,0.390
0.041,0.114,-0.750,-7.385,-1.526,-1.526,0.390
0.106,0.044,-1.092,-4.639,-2.319,-0.183,0.390
0.248,-0.058,-0.771,-5.066,1.099,2.258,0.390
0.222,-0.031,-0.903,-2.075,6.226,3.235,0.390
-0.159,-0.216,-1.153,-3.296,9.827,0.671,0.390
-0.078,-0.004,-1.161,1.282,6.226,0.122,0.390
-0.206,0.118,-1.043,4.211,-1.709,1.587,0.390
-0.008,0.200,-0.908,1.953,-3.418,0.427,0.390
-0.036,0.158,-0.888,1.099,-3.662,2.258,0.390
0.164,0.163,-1.023,-4.028,0.671,2.747,0.390
0.062,0.145,-0.926,-3.357,1.709,2.808,0.390
0.071,0.006,-0.879,-4.272,8.057,4.211,0.390
-0.157,0.063,-0.861,-3.845,7.690,5.066,0.390
-0.046,-0.074,-1.000,-4.517,3.235,1.953,0.390
0.209,0.144,-0.867,5.371,-1.709,2.991,0.390
0.312,0.312,-0.909,2.380,1.099,2.014,0.390

0.020,-0.055,-0.987,-0.427,0.305,-0.061,0.854
0.024,-0.055,-0.986,-0.732,0.488,-0.183,0.854
0.021,-0.056,-0.983,-0.488,0.244,0.000,0.854
0.022,-0.054,-0.985,-0.916,0.183,0.061,0.854
0.021,-0.056,-0.987,-0.610,0.427,-0.122,0.854
0.022,-0.056,-0.985,-0.671,0.427,0.061,0.854
0.024,-0.057,-0.987,-0.732,0.366,-0.305,0.854
0.019,-0.055,-0.984,-0.549,0.427,0.061,0.854
0.021,-0.054,-0.985,-0.854,0.488,-0.244,0.854
0.025,-0.055,-0.988,-0.610,0.305,-0.122,0.854
0.022,-0.056,-0.985,-0.610,0.427,-0.061,0.854
0.020,-0.054,-0.986,-0.793,0.305,-0.061,0.854
0.020,-0.052,-0.984,-0.671,0.488,-0.244,0.854
0.018,-0.052,-0.982,-0.671,0.305,-0.183,0.854
0.020,-0.055,-0.984,-0.610,0.366,-0.244,0.854
0.021,-0.054,-0.983,-0.732,0.122,-0.122,0.854
0.021,-0.057,-0.984,-0.549,0.549,0.000,0.854
0.020,-0.054,-0.987,-0.793,0.793,0.000,0.854
0.023,-0.055,-0.988,-0.549,0.610,-0.244,0.854
0.021,-0.055,-0.986,-0.671,0.427,0.061,0.854
0.021,-0.056,-0.984,-0.732,0.427,-0.122,0.854
0.021,-0.055,-0.986,-0.549,0.610,-0.122,0.854
0.019,-0.053,-0.987,-0.610,0.183,-0.061,0.854
0.020,-0.054,-0.987,-0.366,0.427,-0.122,0.854
0.020,-0.056,-0.984,-0.244,0.549,-0.183,0.854
0.021,-0.055,-0.987,-0.732,0.610,-0.244,0.854
0.022,-0.052,-0.985,-0.671,0.488,-0.305,0.854
0.024,-0.054,-0.986,-0.610,0.793,0.000,0.854
0.024,-0.055,-0.985,-0.671,0.366,0.000,0.854
0.019,-0.054,-0.985,-0.610,0.366,0.061,0.854
0.022,-0.056,-0.986,-1.038,0.122,-0.183,0.854
0.021,-0.054,-0.985,-0.488,0.366,0.305,0.854
0.021,-0.056,-0.986,-1.038,0.488,-0.061,0.854
0.019,-0.056,-0.985,-0.916,0.549,-0.244,0.854
0.022,-0.055,-0.988,-0.854,0.427,0.122,0.854
0.021,-0.057,-0.984,-0.549,0.488,-0.122,0.854
0.020,-0.054,-0.988,-1.038,0.427,-0.122,0.854
0.021,-0.053,-0.987,-0.916,0.366,0.000,0.854
0.023,-0.052,-0.985,-0.671,0.244,-0.183,0.854
0.019,-0.056,-0.986,-0.732,0.244,-0.061,0.854
0.023,-0.056,-0.987,-0.793,0.305,-0.122,0.854
0.022,-0.056,-0.986,-0.854,0.793,0.000,0.854
0.021,-0.056,-0.985,-0.671,0.488,-0.122,0.854
0.021,-0.056,-0.984,-0.610,0.488,0.000,0.854
0.024,-0.054,-0.987,-0.427,0.488,-0.183,0.854
0.018,-0.054,-0.987,-0.488,0.427,-0.122,0.854
0.019,-0.052,-0.985,-0.671,0.549,0.061,0.854
0.023,-0.055,-0.983,-0.610,0.671,0.000,0.854
0.018,-0.055,-0.985,-0.610,0.305,-0.061,0.854
0.023,-0.056,-0.987,-0.977,0.549,-0.183,0.854
0.024,-0.054,-0.983,-0.732,0.366,0.183,0.854
0.024,-0.055,-0.985,-0.671,0.427,-0.061,0.854
0.023,-0.054,-0.983,-0.793,0.427,-0.122,0.854
0.020,-0.057,-0.985,-0.916,0.122,-0.366,0.854
0.025,-0.053,-0.987,-0.854,0.366,-0.183,0.854
0.023,-0.055,-0.985,-0.793,0.427,-0.122,0.854
0.019,-0.053,-0.984,-0.671,0.183,0.000,0.854
0.022,-0.053,-0.985,-0.916,0.183,-0.122,0.854
0.021,-0.058,-0.987,-0.610,0.488,0.061,0.854
0.022,-0.054,-0.990,-0.610,0.488,0.061,0.854
0.021,-0.054,-0.987,-0.671,0.488,0.061,0.854
0.022,-0.058,-0.989,-0.610,0.183,0.122,0.854
0.020,-0.055,-0.984,-0.854,0.549,-0.061,0.854
0.021,-0.054,-0.983,-0.610,0.427,-0.183,0.854
0.021,-0.054,-0.983,-0.854,0.244,-0.366,0.854
0.022,-0.055,-0.983,-0.610,0.244,-0.061,0.854
0.020,-0.054,-0.984,-0.793,0.610,-0.305,0.854
0.018,-0.053,-0.986,-0.671,0.671,-0.183,0.854
0.022,-0.055,-0.987,-0.854,0.366,-0.305,0.854
0.021,-0.054,-0.986,-0.610,0.610,-0.061,0.854
0.020,-0.053,-0.987,-0.671,0.366,-0.244,0.854
0.019,-0.057,-0.986,-0.610,0.427,0.000,0.854
0.024,-0.055,-0.986,-0.793,0.366,0.000,0.854
0.021,-0.057,-0.985,-0.549,0.244,-0.244,0.854
0.019,-0.056,-0.986,-0.488,0.427,0.122,0.854
0.021,-0.056,-0.983,-0.549,0.610,0.000,0.854
0.022,-0.055,-0.988,-0.488,0.671,-0.061,0.854
0.022,-0.056,-0.983,-0.671,0.793,0.061,0.854
0.019,-0.053,-0.986,-0.549,0.427,0.366,0.854
0.021,-0.055,-0.988,-0.549,0.061,0.061,0.854
0.020,-0.054,-0.985,-0.549,0.427,0.000,0.854
0.020,-0.055,-0.987,-0.427,0.610,-0.061,0.854
0.021,-0.054,-0.986,-0.671,0.671,-0.183,0.854
0.022,-0.055,-0.988,-0.854,0.488,-0.122,0.854
0.019,-0.056,-0.985,-0.854,0.488,0.183,0.854
0.021,-0.056,-0.985,-0.671,0.549,-0.061,0.854
0.017,-0.052,-0.983,-0.549,0.488,0.061,0.854
0.021,-0.054,-0.988,-0.488,0.610,0.183,0.854
0.020,-0.053,-0.984,-0.488,0.427,-15.564,0.854
0.021,-0.057,-0.986,-0.671,0.671,-15.503,0.854
0.023,-0.054,-0.986,-0.610,0.671,-0.122,0.448
0.020,-0.054,-0.987,-0.549,0.549,-0.122,0.448
0.020,-0.054,-0.984,-0.610,0.244,0.061,0.448
0.022,-0.056,-0.991,-0.793,0.610,-0.244,0.448
0.018,-0.053,-0.987,-0.732,0.610,-0.183,0.448
0.023,-0.054,-0.984,-0.732,0.610,0.061,0.448
0.020,-0.055,-0.984,-0.610,0.427,-0.061,0.448
0.020,-0.055,-0.986,-0.854,0.488,-0.122,0.448
