aX,aY,aZ,gX,gY,gZ,S
0.241,1.095,-4.000,132.996,-35.889,-44.189,0.089
-0.386,2.862,0.492,-27.771,-38.757,-73.975,0.089
1.550,0.333,-2.234,13.245,-9.399,-81.116,0.089
-0.143,2.582,3.266,-90.698,-11.169,-85.022,0.089
1.034,-2.052,-2.510,-34.119,21.484,-79.285,0.089
-0.699,1.714,-0.382,60.852,25.757,-56.580,0.089
-0.044,-0.833,-0.834,-59.570,51.270,-70.374,0.089
-2.865,0.176,1.261,20.386,-0.183,-66.223,0.089
-0.771,-0.946,-3.775,39.307,-35.645,-61.707,0.089
-0.252,3.238,0.683,42.664,-61.401,-64.026,0.089
-0.446,-0.983,-1.799,-78.247,-13.611,-87.280,0.089
0.645,0.542,-2.304,54.443,-46.936,-74.280,0.089
-0.953,-0.377,0.544,-99.060,13.977,-100.342,0.089
0.178,-0.503,-3.989,44.739,-1.587,-77.515,0.089
-1.251,0.543,2.775,-64.148,26.917,-74.036,0.089
-0.777,-0.965,-3.988,25.391,-2.502,-67.627,0.089
0.171,2.545,-1.320,20.203,-22.522,-72.083,0.089
1.384,-3.445,-0.981,-80.688,8.972,-81.848,0.089
-4.000,-4.000,4.000,-389.404,78.918,25.330,0.089
0.343,-4.000,-2.620,-183.289,84.717,-88.684,0.089
-4.000,-4.000,-2.668,-122.803,101.624,9.338,0.089
-1.699,-2.592,1.570,48.035,-20.325,122.620,0.089
1.032,0.097,3.030,122.131,1.892,38.818,0.089
-1.700,-1.179,-4.000,108.215,-7.263,72.144,0.089
-0.254,0.677,0.180,138.733,-10.498,108.215,0.089
1.704,1.019,1.908,33.997,-44.006,128.113,0.089
0.112,-2.684,-3.170,65.430,8.850,61.401,0.089
-0.097,-2.247,0.198,156.128,-76.843,110.107,0.089
0.698,0.440,-0.451,226.501,-85.938,128.967,0.089
-0.537,-0.010,2.298,158.691,-79.468,151.062,0.089
-0.832,-0.560,0.687,179.993,-70.618,156.189,0.089
0.412,0.385,-0.888,134.216,-43.396,144.104,0.089
0.007,2.650,-3.776,104.919,-24.780,149.536,0.089
1.842,4.000,-4.000,-18.921,5.493,163.086,0.089
4.000,4.000,-2.125,-40.283,-18.005,117.554,0.089
-2.581,-1.164,2.991,18.188,-52.856,73.425,0.089
2.363,0.546,-2.190,-5.249,-19.348,138.916,0.089
1.208,0.011,2.447,-10.986,-3.235,107.544,0.089
-0.316,-0.542,-0.156,-19.531,16.174,110.291,0.089
-1.307,0.868,-0.820,-27.710,11.047,118.530,0.089
0.576,0.921,-0.283,-21.545,-16.357,103.333,0.089
0.092,-0.154,-0.732,-52.368,-12.390,82.703,0.089
0.684,-0.758,-0.598,-45.532,-7.629,86.243,0.089
0.018,-0.388,0.295,-34.546,-17.090,85.938,0.089
-0.056,0.235,0.099,-33.325,-11.414,95.947,0.089
0.456,-0.286,-0.198,-39.856,-5.432,92.224,0.089
1.378,1.246,-1.352,-44.861,7.080,93.384,0.089
1.695,-0.306,1.106,-28.687,17.395,82.642,0.089
3.358,0.461,-0.206,-41.504,75.317,98.511,0.089
0.618,-1.194,-0.287,-49.316,140.747,88.867,0.089
-2.646,-0.019,-3.104,-24.536,148.743,103.455,0.089
-3.609,0.316,-4.000,-73.486,133.240,127.075,0.089
-0.964,2.132,-1.816,-165.039,44.922,91.125,0.089
1.944,0.745,-1.362,21.057,-129.333,66.711,0.089
