aX,aY,aZ,gX,gY,gZ,S
-0.227,-0.573,3.138,-45.227,7.202,69.153,0.166
0.783,-2.155,-4.000,28.198,3.784,78.247,0.166
-0.160,0.813,2.774,26.245,16.602,89.172,0.166
-0.699,-1.731,-0.497,-1.892,13.611,84.839,0.166
0.763,1.103,-4.000,95.764,-30.029,105.164,0.166
-0.820,2.934,-0.538,-28.687,-27.222,87.402,0.166
1.407,-0.285,-3.414,2.014,-39.490,84.534,0.286
2.543,0.049,-0.729,19.714,-24.536,96.436,0.286
-0.084,-0.183,-0.937,-32.104,20.996,71.228,0.286
1.565,-0.422,0.432,-5.371,34.729,86.182,0.286
-0.774,0.326,-0.343,-3.967,63.293,88.867,0.286
-0.304,-0.889,0.542,-8.545,37.537,103.027,0.286
-1.473,1.074,-0.760,45.166,-18.738,106.384,0.286
-0.862,-0.416,-2.071,-22.400,-26.550,81.848,0.286
0.256,0.752,1.683,22.339,-73.242,80.566,0.286
-0.952,4.000,-3.598,-3.540,-91.187,90.454,0.286
4.000,-4.000,-3.982,-373.779,-36.072,63.293,0.286
3.859,-4.000,4.000,-326.050,-50.415,-34.363,0.286
1.971,-4.000,-4.000,-45.471,-75.806,-296.326,0.286
3.599,-2.227,0.250,61.035,-65.918,66.345,0.286
4.000,-3.376,1.046,115.601,1.892,-114.868,0.286
-2.089,2.186,-4.000,130.188,-37.476,-140.381,0.286
1.609,-1.070,-2.090,151.428,23.376,-125.916,0.286
-1.962,1.045,-0.135,67.749,-89.172,-115.784,0.286
3.987,-1.128,-2.495,38.208,24.414,-153.442,0.286
-1.515,-0.307,3.970,84.839,-13.245,-141.907,0.286
4.000,-1.145,0.828,130.615,34.119,-143.677,0.286
-0.176,0.102,0.196,99.060,68.665,-156.128,0.286
-0.462,-0.752,1.982,111.511,33.020,-142.151,0.286
0.274,0.433,-0.795,136.169,33.875,-134.277,0.286
0.435,0.853,-0.126,104.553,30.029,-164.246,0.286
0.120,-0.549,0.701,111.389,27.710,-156.982,0.286
-2.649,1.628,-3.976,80.078,29.175,-128.296,0.286
0.297,4.000,-2.669,19.470,36.377,-106.079,0.286
-2.142,4.000,-4.000,-99.060,-22.949,-166.992,0.286
1.963,1.296,-1.854,-29.358,-29.419,-234.680,0.286
-2.311,-0.511,2.309,-59.509,-75.256,-146.301,0.286
3.566,-0.418,-1.944,22.278,-45.654,-188.660,0.286
-1.826,-0.381,2.568,-22.278,-30.396,-150.391,0.286
1.345,0.376,-1.075,-2.808,1.709,-157.715,0.286
-2.822,-0.934,-1.226,-44.128,14.038,-153.137,0.286
0.913,0.682,-0.339,-51.636,-23.926,-130.859,0.286
-0.254,0.130,0.818,-69.885,-41.565,-169.006,0.286
1.801,-1.525,-0.962,-50.049,-10.193,-144.409,0.286
1.655,0.573,-0.157,-17.212,-4.822,-129.333,0.286
2.657,1.908,-2.266,-38.086,65.674,-124.878,0.286
0.928,-1.049,2.233,-46.875,105.530,-167.297,0.286
-3.174,-1.012,-4.000,28.076,122.864,-124.084,0.286
-2.454,0.835,-0.861,-103.088,64.880,-106.750,0.286
-2.149,-0.491,-3.816,63.354,-53.284,-131.592,0.286
-0.630,0.621,-2.157,10.315,-40.466,-108.948,0.286
0.811,1.455,-1.768,14.771,-2.319,-84.961,0.286
-0.184,0.847,-0.608,-6.470,-1.404,-68.176,0.286
-1.834,-1.380,0.683,9.521,-1.709,-71.899,0.286
0.671,0.361,-2.394,53.223,-13.184,-59.753,0.286
-0.751,0.341,0.595,42.786,-19.470,-69.031,0.286
-0.001,0.395,0.484,30.396,-34.119,-80.994,0.286
-0.229,0.388,-1.148,28.259,-14.587,-77.942,0.286
0.022,0.672,-0.523,10.315,-16.724,-65.369,0.286
0.875,0.586,-0.899,-16.846,-8.667,-76.233,0.286
0.654,-0.275,-1.106,-13.367,7.874,-52.490,0.286
-0.345,-0.153,-1.362,-19.287,27.527,-50.232,0.286
-0.751,0.146,-1.741,-30.151,19.104,-44.800,0.286
-0.235,-0.509,-1.613,-14.893,-2.258,-46.875,0.286
-0.139,-0.305,-1.243,-3.601,-8.057,-34.058,0.286
0.526,-0.169,-1.069,2.258,-7.263,-28.809,0.286
0.356,-0.313,-0.928,7.324,-8.057,-27.649,0.286
0.639,0.198,-0.811,21.118,-5.188,-20.630,0.286
0.593,0.214,-1.097,20.264,6.775,-22.156,0.286
0.089,0.487,-1.122,10.437,13.916,-21.545,3.427
-0.090,0.335,-1.021,0.854,8.118,-25.696,3.427
-0.121,0.263,-0.810,-0.610,-5.249,-25.635,3.427
-0.025,0.106,-0.698,-2.197,-11.841,-23.560,3.427
-0.043,-0.138,-0.845,-3.601,-14.709,-20.508,3.427
-0.096,-0.109,-0.980,-2.991,-16.418,-14.343,3.427
0.102,-0.123,-0.922,-2.502,-16.724,-13.000,3.427
-0.033,-0.257,-1.006,1.038,-14.526,-10.986,3.427
0.171,-0.133,-1.192,6.592,-11.902,-10.742,3.427
0.209,0.014,-1.106,5.615,-7.996,-11.658,3.427
0.068,-0.055,-1.220,4.700,-1.526,-16.418,3.427
0.106,0.136,-0.949,4.333,1.221,-11.353,3.427
0.046,0.250,-0.893,2.014,4.944,-11.719,3.427
0.049,0.023,-0.748,-0.183,2.319,-10.132,3.427
0.060,0.119,-1.136,3.662,0.183,-6.470,3.427
0.179,0.098,-0.924,5.554,-1.282,-3.601,3.427
0.098,0.120,-0.841,1.892,-0.061,-3.967,3.427
0.073,0.184,-0.843,3.418,-1.587,-3.540,3.427
0.266,0.250,-1.089,5.249,-3.540,-2.197,3.427
0.078,0.362,-1.067,-2.197,-0.916,0.854,3.427
-0.141,0.176,-0.926,-4.028,-1.770,6.226,3.427
-0.156,0.116,-0.933,-4.944,-5.127,11.108,3.427
-0.170,0.128,-1.038,-8.240,-10.620,11.597,3.427
0.091,-0.223,-1.083,-5.920,-16.602,11.841,3.427
0.045,-0.197,-0.999,-1.404,-15.259,9.216,3.427
0.658,-0.188,-0.849,-0.793,-14.771,1.038,3.427
0.229,-0.083,-1.103,-0.122,-2.625,-5.493,3.427
0.130,-0.125,-0.756,-1.282,7.324,-6.104,3.427
-0.132,-0.042,-1.087,-0.305,9.155,-9.460,3.427
-0.130,0.064,-1.009,1.160,5.066,-6.592,3.427
-0.060,0.118,-1.120,-0.671,4.944,-2.563,3.427
-0.137,0.108,-0.931,-2.197,3.235,1.221,3.427
-0.015,0.042,-0.851,-2.258,0.671,1.343,3.427
0.087,-0.011,-1.032,0.854,-0.732,3.235,3.427
0.355,-0.010,-1.208,2.014,14.709,2.441,3.427
0.203,-0.016,-0.865,0.488,3.296,3.357,3.427
0.052,0.007,-1.151,2.686,5.310,6.409,3.427
-0.158,-0.037,-1.064,-1.099,6.592,6.775,3.427
-0.001,0.094,-0.941,4.395,0.916,8.423,3.427
-0.048,0.104,-0.990,4.150,2.075,9.094,3.427
-0.028,0.142,-1.031,2.502,2.991,10.010,3.427
-0.025,0.255,-1.152,1.282,2.197,10.193,3.427
-0.087,0.163,-1.005,-15.137,0.122,11.108,3.427
-0.075,0.121,-0.933,-1.343,-1.892,10.925,3.427
0.046,0.137,-0.974,-1.648,-3.967,9.705,3.427
0.210,0.130,-0.983,-0.549,-4.028,8.606,3.427
0.105,0.101,-0.959,-2.197,-1.221,5.859,3.427
0.065,0.047,-1.002,-2.197,2.747,3.296,3.427
-0.017,0.087,-1.009,-1.343,4.456,0.671,3.427
-0.052,0.147,-0.980,-0.854,3.784,0.916,3.427
-0.203,0.145,-1.027,-1.953,4.028,3.235,3.427
-0.145,0.053,-1.038,-5.249,1.404,3.906,3.427
-0.221,-0.036,-0.990,-4.150,-3.296,4.089,3.427
0.024,-0.146,-0.958,-2.991,-7.874,4.395,3.427
0.262,-0.029,-0.991,-1.648,-8.606,0.305,3.427
0.432,-0.153,-0.993,-2.502,-5.005,-3.845,3.427
0.225,-0.126,-0.835,0.366,1.221,-4.944,3.427
-0.041,-0.003,-0.995,0.977,7.385,-3.601,3.427
-0.160,-0.001,-0.970,1.892,3.967,-1.831,3.427
0.020,0.081,-0.989,3.479,-1.587,0.305,3.427
0.134,0.120,-0.998,1.526,-1.587,1.953,3.427
0.128,0.113,-1.002,-2.319,0.916,2.197,3.427
-0.041,0.026,-0.972,-3.174,3.906,3.052,3.427
-0.073,0.039,-1.059,-2.808,1.770,3.845,3.427
-0.002,-0.005,-1.016,-2.441,-1.221,2.319,3.427
0.042,-0.051,-0.980,-1.404,-1.343,1.038,0.607
0.040,-0.026,-0.966,-0.244,0.916,0.366,0.607

0.012,-0.061,-0.984,-0.427,0.183,0.000,0.108
0.014,-0.060,-0.986,-0.549,0.610,-0.244,0.108
0.015,-0.059,-0.987,-0.671,0.244,-0.244,0.108
0.015,-0.063,-0.983,-0.427,0.305,-0.061,0.108
0.016,-0.060,-0.985,-0.427,0.671,-0.061,0.108
0.012,-0.059,-0.986,-0.549,0.488,-0.183,0.108
0.016,-0.061,-0.985,-0.610,0.122,0.122,0.108
0.015,-0.061,-0.983,-0.549,0.244,-0.183,0.108
0.012,-0.060,-0.986,-0.916,0.366,0.000,0.108
0.015,-0.060,-0.989,-0.366,0.244,0.122,0.108
0.012,-0.057,-0.987,-0.732,0.061,0.366,0.108
0.015,-0.058,-0.985,-0.793,0.244,0.000,0.108
0.013,-0.062,-0.985,-0.732,0.122,-0.061,0.108
0.015,-0.061,-0.985,-0.549,0.427,-0.122,0.108
0.123,-0.127,-1.018,-1.953,0.854,-0.488,0.108
-0.027,-0.081,-0.896,1.038,1.587,0.427,0.108
-0.238,-0.033,-1.174,-15.442,2.502,0.244,0.108
-0.549,0.879,-2.062,-27.832,1.587,4.883,0.108
-0.901,1.005,-1.594,-46.265,-5.310,-5.615,0.108
0.996,1.064,-2.181,6.287,-33.813,-17.273,0.108
0.858,-0.458,2.729,42.908,-34.912,-36.987,0.108
0.798,1.759,-2.023,8.972,16.296,-18.982,0.108
-0.351,-1.278,-0.404,46.082,16.907,-29.907,0.031
-1.160,0.963,-0.668,23.315,29.175,-6.348,0.031
