aX,aY,aZ,gX,gY,gZ,S
1.002,-1.175,-1.949,-57.129,-28.992,-6.897,0.139
0.532,-0.563,-3.015,-49.988,-8.301,-0.488,0.139
0.575,-0.612,-1.768,-3.662,-3.906,4.089,0.139
0.197,-1.098,-1.842,2.991,28.015,1.831,0.139
0.283,0.088,-2.139,36.194,19.409,1.648,0.139
0.660,-0.173,-0.897,39.551,32.227,-6.104,0.139
-0.230,0.404,-0.298,35.828,41.870,-6.409,0.139
-0.427,0.370,-0.655,31.555,32.959,12.329,0.139
-0.064,0.673,0.015,21.729,14.160,2.258,0.139
-0.520,0.426,-0.596,21.851,0.427,-4.089,0.139
-0.314,0.596,-1.184,9.888,-1.404,-3.784,0.139
-0.013,0.477,-0.739,-6.470,-4.822,-1.770,0.139
0.363,0.160,-0.449,-11.597,-6.470,-2.625,0.139
0.012,0.104,-0.524,-13.672,-0.244,-5.249,0.139
-0.020,0.003,-0.863,-9.766,2.258,-2.502,0.139
-0.296,-0.026,-1.310,-13.550,8.484,-0.793,0.139
-0.566,-0.374,-1.417,-10.803,-0.244,-2.136,0.139

-0.159,-0.488,0.337,-1.160,-63.904,-1.282,0.444
1.518,3.087,-3.850,-5.981,-51.025,12.817,0.444
0.918,-0.123,0.664,-26.855,-21.545,3.418,0.444
1.893,0.265,-3.339,4.639,5.737,22.522,0.444
-0.086,0.523,1.356,-28.625,41.016,5.127,0.444
-0.793,-1.404,0.330,27.222,18.799,4.028,0.444
0.245,1.594,-2.257,1.038,59.021,25.146,0.444
-1.795,-1.020,1.353,-14.954,23.315,8.240,0.444
-0.856,-0.321,-2.608,17.517,-17.395,18.250,0.444
-0.726,0.746,-0.808,-7.324,-29.968,11.536,0.444
1.392,0.939,-2.951,1.709,-36.682,17.090,0.444
0.977,-0.089,1.583,-22.583,-9.644,-2.319,0.444
1.393,1.898,-4.000,-43.213,31.006,8.667,0.444
-0.109,-1.365,4.000,-51.147,22.400,-13.855,0.444
-0.282,0.980,-4.000,62.012,49.622,27.161,0.444
-0.703,-0.482,1.145,-16.968,55.969,28.931,0.444
-0.959,-0.186,-1.297,25.146,7.935,29.114,0.444
-0.677,0.932,-0.709,-5.798,13.733,26.123,0.444
-0.701,0.105,-0.438,10.742,-23.071,13.489,0.444
0.239,0.719,-1.872,-4.150,-23.682,6.653,0.444
1.409,0.825,-1.989,13.855,-14.709,4.822,0.444
-0.551,0.318,1.054,-36.438,1.770,-5.676,0.444
1.094,0.919,-4.000,-16.296,13.000,14.893,0.444
0.134,-1.464,4.000,29.663,-6.836,4.700,0.444
-0.071,1.664,-4.000,54.077,34.729,45.349,0.444
0.212,-1.861,4.000,-33.081,-12.512,23.499,0.444
0.282,1.502,-3.490,41.260,-0.305,27.588,0.444
-1.152,-1.311,1.398,4.456,12.512,17.700,0.444
-1.122,0.791,-2.234,24.109,-18.433,46.265,0.444
-0.080,2.496,-2.979,9.399,-43.274,20.752,0.444
0.843,1.335,0.384,-23.132,-26.611,19.836,0.444
0.294,1.108,-3.170,-45.776,-2.258,4.517,0.444
1.404,-1.675,3.635,32.959,-13.367,2.319,0.444
-0.083,1.396,-2.624,-43.030,47.974,36.865,0.444
0.635,-0.743,0.768,67.444,6.409,29.175,0.444
-0.954,1.588,0.227,-31.616,51.392,33.081,0.444
-1.139,-1.943,-0.466,23.315,-3.845,14.160,0.444
-0.569,0.782,-0.625,-4.272,-28.381,22.766,0.444
-0.189,0.884,-1.417,16.357,-47.119,33.447,0.444
0.910,2.482,-0.199,-35.767,-32.959,8.972,0.444
1.685,-0.094,-3.145,-5.066,-31.616,4.028,0.444
-0.503,0.786,2.169,-72.754,-35.217,4.883,0.444
0.938,-4.000,-3.956,-106.384,-41.077,-19.897,0.444
-0.446,-4.000,4.000,-91.980,-6.653,-73.242,0.444
-0.559,-4.000,-4.000,-120.117,70.557,-146.118,0.444
3.922,-4.000,-4.000,194.031,-5.981,-49.927,0.444
-2.679,3.218,4.000,153.320,-86.182,-42.236,0.444
2.703,-0.592,-4.000,167.358,50.659,-28.748,0.444
-0.326,-1.015,1.969,132.996,8.118,-84.229,0.444
-0.334,3.214,0.583,96.802,15.686,-7.507,0.444
0.719,1.086,0.065,73.242,38.147,-1.587,0.444
0.181,3.022,-0.920,52.856,22.827,-30.029,0.444
-0.989,1.799,0.396,39.368,20.508,-13.306,0.444
-0.604,-0.701,-1.842,-22.278,58.289,7.263,0.270
-1.460,0.958,-0.568,-5.432,11.230,42.603,0.270
-0.333,-0.277,0.739,-7.935,-19.897,26.733,0.270
-0.429,0.002,-1.575,1.282,-24.597,25.635,0.270
-0.354,0.380,0.145,-2.014,-37.598,20.447,0.270
1.037,0.416,-0.458,3.845,-33.569,12.451,0.270
0.866,-0.110,-0.343,-7.874,-18.188,1.038,0.270
0.196,0.130,-0.471,-4.700,-7.080,0.977,0.270
-0.687,1.556,-1.384,-29.358,15.381,12.024,0.270
0.272,0.787,-1.130,-60.608,17.578,-3.784,0.270
0.019,0.277,-0.640,-58.411,11.414,-4.822,0.270
-0.862,0.552,-0.670,-100.159,39.856,-9.888,0.270
-1.104,-0.781,-0.777,-84.290,15.686,-12.329,0.270
-1.630,0.100,-0.274,-88.013,-10.986,-7.629,0.270
0.069,-1.646,-3.437,-62.683,-18.982,-14.343,0.270
-1.220,-1.071,-2.135,-39.307,-35.278,-23.010,0.270
0.699,-0.084,-2.198,-5.005,-48.035,-9.277,0.270
1.693,-1.329,-1.642,1.160,-5.066,-7.812,0.270
1.087,-0.027,-1.992,21.484,28.809,-3.662,0.270
0.054,-0.032,-0.597,24.414,48.767,-15.625,0.270
-0.696,-0.194,-1.109,22.949,46.509,-20.813,0.270
-0.929,-0.244,-0.942,30.579,13.672,-23.376,0.270
-0.477,0.208,-0.510,31.982,-16.663,-18.311,0.270
0.390,0.603,-0.272,23.804,-23.071,-13.428,0.270
0.470,0.695,-0.882,17.761,-19.226,-23.499,0.270
0.641,0.214,-0.455,9.033,-11.902,-24.292,0.270
0.249,0.243,-0.766,-8.362,13.000,-23.499,0.270
-0.361,-0.105,-0.718,-14.343,15.076,-23.437,0.270
-0.493,-0.087,-0.860,-19.348,7.385,-22.461,0.270
0.012,-0.331,-1.064,-10.376,-5.920,-19.104,0.270
0.321,0.044,-1.395,-5.249,-9.766,-13.794,0.270
0.529,0.005,-1.507,-8.606,-1.831,-11.047,0.270
0.571,-0.000,-1.583,-1.892,4.272,-3.784,0.270
0.358,-0.170,-1.234,0.732,13.000,3.601,0.270
0.202,0.146,-0.966,5.127,14.648,4.883,0.270
0.142,-0.006,-0.468,7.996,11.963,3.601,0.270
-0.307,0.107,-0.593,11.047,11.536,5.371,0.270
-0.342,0.406,-1.000,8.362,2.075,8.667,0.270
-0.206,0.261,-0.588,-0.610,-9.033,14.893,0.270
0.286,-0.072,-0.895,-3.662,-9.644,13.489,0.270
-0.181,-0.149,-1.266,-4.028,-2.380,7.812,0.270
0.047,0.065,-1.516,-3.601,-4.150,8.057,0.270
0.107,-0.229,-1.282,-2.380,-5.615,7.324,0.270
0.129,-0.125,-1.010,5.737,-3.906,11.475,0.270
0.112,0.129,-0.900,7.751,2.930,10.620,0.270
0.057,0.107,-0.592,2.380,6.714,10.376,0.270
-0.033,0.029,-0.649,5.615,6.287,8.728,0.270
-0.499,0.379,-0.800,-1.587,6.531,11.353,0.270
-0.070,0.202,-0.832,-6.653,-0.549,12.024,0.270
-0.036,0.090,-0.982,-10.437,-3.174,11.108,0.270
0.093,-0.143,-1.136,-7.019,-2.563,9.766,0.270
0.088,0.180,-1.799,-5.615,0.854,10.010,0.270
0.073,-0.075,-1.336,-6.165,-2.136,4.883,0.270
0.298,-0.130,-1.046,0.427,1.221,3.357,0.270
0.132,0.100,-0.977,6.104,10.742,4.578,0.270
-0.022,0.009,-0.852,2.441,12.756,3.784,0.270
-0.025,-0.027,-0.593,5.798,6.897,1.831,0.270
-0.051,-0.028,-0.708,10.803,0.793,2.991,0.270
-0.329,0.283,-0.706,5.249,3.113,5.310,0.270
-0.228,0.232,-0.938,-2.747,-2.319,6.897,0.270
0.052,0.045,-0.850,-4.272,-8.667,7.019,0.270
0.028,0.136,-0.874,-4.333,-6.653,7.202,0.270
0.125,0.015,-1.148,-9.033,-0.671,6.592,0.270
0.063,-0.159,-1.320,-8.972,3.967,2.502,0.270
0.132,-0.007,-1.484,-5.310,4.333,2.075,0.502
0.147,-0.082,-1.339,-3.662,5.188,0.488,0.502

0.869,0.430,-0.764,-2.625,10.559,-30.518,0.309
-0.790,0.417,-0.295,-8.423,33.142,-16.235,0.309
-2.121,-0.407,-0.258,17.578,13.977,-12.939,0.309
-0.565,1.072,-1.658,6.714,-2.930,10.193,0.309
0.203,0.816,-1.873,-23.376,-21.729,5.249,0.309
0.214,-0.355,-0.422,-14.221,-28.625,-13.794,0.309
1.692,0.806,-2.253,11.963,-21.545,-9.888,0.309
0.615,1.184,-1.033,-16.846,24.292,-11.902,0.309
-1.221,-1.598,1.464,-18.005,16.113,-24.231,0.309
-0.254,1.558,-3.930,39.856,4.089,13.062,0.309
0.416,0.438,0.860,-23.804,27.649,12.817,0.309
-1.400,-0.583,-0.924,-1.465,-11.353,12.451,0.309
0.479,0.905,-2.299,-4.944,-11.047,18.555,0.309
-0.224,1.013,0.530,-32.532,-16.296,-2.869,0.309
1.446,-0.323,-1.918,18.921,-15.015,-1.526,0.309
-0.359,1.027,-1.146,-57.861,16.113,0.488,0.309
1.545,-0.853,0.379,60.547,-2.930,-4.089,0.309
-0.073,1.518,-1.069,-49.988,59.448,16.357,0.309
-0.972,-1.461,1.266,7.019,4.150,-4.517,0.309
-0.385,2.337,-2.474,12.756,8.057,18.188,0.309
-1.026,-0.532,2.172,-8.911,-6.714,9.644,0.309
-0.043,-0.556,-3.452,21.423,-20.020,7.263,0.309
0.333,1.451,-2.310,-14.709,1.343,14.832,0.309
0.239,-0.454,2.062,11.414,-12.451,1.404,0.309
0.318,1.093,-2.457,-40.527,14.160,11.719,0.309
-0.115,-0.823,0.577,32.959,-14.587,4.089,0.309
0.647,1.556,-2.780,6.409,1.709,10.437,0.309
