aX,aY,aZ,gX,gY,gZ,S
-1.846,-0.187,-3.415,18.066,-34.119,26.062,0.100
-0.719,0.244,3.195,33.447,-67.322,36.743,0.100
0.850,1.735,-2.333,-5.493,-68.237,29.297,0.100
1.818,-0.847,0.465,-11.719,-44.067,45.898,0.100
2.030,1.938,-2.950,-41.565,24.597,35.156,0.100
-0.767,-0.610,-1.379,-50.964,12.085,8.606,0.100
-0.342,0.426,-0.406,0.916,-6.042,12.756,0.100
-0.431,-1.001,0.298,-42.664,17.456,6.653,0.100
-0.351,-0.543,-2.700,40.894,-9.094,20.996,0.100
0.377,1.200,-0.859,10.315,10.681,22.827,0.100
-0.602,-0.276,0.835,-25.696,17.761,5.737,0.100
-0.328,0.170,-1.290,51.636,-24.841,10.742,0.100
-0.331,0.402,-1.896,-10.498,-28.503,1.770,0.100
1.143,1.947,-1.382,18.616,-39.917,1.343,0.100
1.343,0.943,-0.349,-35.522,30.396,-2.258,0.100
0.549,-0.561,-2.572,-41.931,38.208,-6.042,0.100
-1.465,-3.162,4.000,-218.018,7.507,31.616,0.100
-2.191,-4.000,3.917,-515.564,122.070,-158.691,0.100
-0.469,-4.000,-3.964,-175.842,46.021,-20.630,0.100
-4.000,-4.000,-4.000,540.955,-117.432,2.441,0.100
-1.246,-3.501,4.000,118.958,-94.116,44.067,0.100
0.093,2.217,-4.000,203.247,-20.081,-22.827,0.100
3.853,1.441,1.506,241.760,-134.277,43.457,0.100
-2.399,2.750,2.577,156.799,-145.020,-5.310,0.100
-0.923,-2.087,-0.201,131.897,-63.416,6.348,0.100
0.592,-3.546,3.068,212.952,-70.923,3.479,0.100
0.314,1.292,-1.468,109.009,-39.124,41.443,0.100
0.055,1.994,-4.000,150.513,-58.044,-21.667,0.100
-0.762,-1.465,-1.855,137.634,-54.871,-14.954,0.444
0.243,1.442,0.375,121.338,-41.077,-5.920,0.444
3.001,1.528,-3.705,108.582,-21.057,12.573,0.444
4.000,0.432,1.125,133.179,38.696,10.864,0.444
2.711,2.729,-0.547,59.509,177.063,41.565,0.444
-1.756,2.423,-0.978,12.817,200.317,42.908,0.444
-4.000,2.162,-3.991,41.443,157.043,78.918,0.444
-2.061,0.868,0.987,-0.061,30.823,53.589,0.444
3.824,0.675,0.478,17.334,-72.510,-47.119,0.444
1.889,1.552,-0.721,5.981,-59.875,-21.301,0.444
-0.208,-1.578,0.624,22.461,-16.357,-25.146,0.444
2.194,0.034,-1.250,-15.137,41.626,1.221,0.444
1.635,-0.195,-0.955,-0.916,62.622,-1.099,0.444
-1.047,0.536,1.926,-14.465,61.035,14.221,0.444
-0.185,-0.375,-0.331,-7.141,84.595,-6.592,0.444
-0.081,1.122,-0.818,-20.813,70.984,-7.935,0.444
-1.399,0.906,-0.839,-38.269,68.665,-12.085,0.444
-1.024,3.394,-1.067,-136.230,9.460,-50.598,0.444
-0.623,0.369,0.059,-54.993,-70.618,-70.740,0.444
-0.417,1.019,0.277,-83.679,-51.819,-37.781,0.444
1.010,0.453,-0.423,-78.064,-64.453,-65.979,0.444
1.100,1.347,-2.540,-75.745,-35.950,-81.787,0.444
1.524,2.666,0.032,-128.662,-13.794,-90.698,0.444
