aX,aY,aZ,gX,gY,gZ,S
0.315,-0.419,-1.006,4.700,15.320,-15.137,29.026
0.309,-0.411,-0.896,4.639,1.465,-14.709,29.026
0.287,-0.403,-0.873,5.493,1.038,-14.587,29.026
0.302,-0.404,-0.919,5.737,-0.732,-14.893,29.026
0.361,-0.422,-0.968,5.127,-0.854,-15.015,29.026
0.391,-0.434,-0.922,5.554,0.122,-14.954,29.026
0.333,-0.424,-0.877,5.981,0.305,-15.015,29.026
0.277,-0.394,-0.865,6.104,-0.183,-14.832,29.026
0.282,-0.399,-1.026,6.287,-0.671,-15.137,29.026
0.295,-0.418,-1.074,6.042,-0.916,-15.076,29.026
0.261,-0.400,-1.130,6.165,-0.793,-15.259,29.026
0.252,-0.384,-1.152,6.042,-1.038,-15.442,29.026
0.301,-0.385,-1.124,6.287,0.244,-15.198,29.026
0.302,-0.368,-0.976,6.531,2.197,-15.381,29.026
0.280,-0.348,-0.832,6.287,2.747,-15.503,29.026
0.299,-0.359,-0.786,5.310,1.160,-15.686,29.026
0.386,-0.368,-0.859,4.944,-0.854,-15.564,29.026
0.429,-0.335,-0.975,5.615,-0.916,-15.686,29.026
0.385,-0.312,-0.979,6.104,-0.244,-15.747,29.026
0.354,-0.314,-0.944,5.737,-0.122,-15.869,29.026
0.348,-0.322,-1.000,5.249,-0.427,-15.686,29.026
0.342,-0.328,-0.931,5.432,15.442,-15.686,29.026
0.281,-0.359,-0.915,5.859,0.366,-15.808,29.026
0.266,-0.380,-0.918,5.005,-0.061,-15.625,29.026
0.316,-0.377,-1.024,5.737,-0.610,-15.503,29.026
0.346,-0.352,-1.092,5.981,-0.183,-15.381,29.026
0.307,-0.364,-1.048,5.920,0.977,-15.503,29.026
0.306,-0.388,-0.924,5.859,1.587,-15.686,29.026
0.303,-0.396,-0.827,6.042,0.732,-15.686,29.026
0.293,-0.388,-0.871,5.615,-0.244,-15.320,29.026
0.327,-0.416,-1.002,6.287,-1.038,-15.564,29.026
0.336,-0.414,-1.029,6.653,-0.916,-15.320,29.026
0.330,-0.415,-1.026,6.836,0.488,-15.076,29.026
0.294,-0.418,-0.974,7.263,0.977,-15.442,29.026
0.289,-0.424,-0.924,7.080,0.488,-15.381,29.026
0.304,-0.417,-0.923,7.385,-0.122,-15.381,29.026
0.309,-0.398,-0.916,7.507,-0.061,-15.442,29.026
0.304,-0.382,-0.919,7.812,0.305,-15.930,29.026
0.288,-0.378,-0.944,7.629,0.122,-15.381,29.026
0.312,-0.389,-1.022,7.874,-0.183,-15.503,29.026
0.341,-0.398,-1.048,7.751,0.122,-15.381,29.026
0.333,-0.406,-1.024,7.385,0.305,-15.320,28.497
0.299,-0.386,-0.878,8.057,0.732,-15.320,28.497
0.297,-0.384,-0.898,8.057,0.549,-15.381,28.497
0.245,-0.376,-0.831,8.301,0.610,-15.320,28.497
0.234,-0.344,-0.928,8.728,-0.183,-14.954,28.497
0.273,-0.309,-1.036,8.972,-1.465,-15.137,28.497
0.314,-0.355,-1.040,7.751,-0.916,-15.198,28.497
0.296,-0.382,-0.983,7.874,0.061,-15.137,28.497
0.303,-0.375,-0.888,8.484,0.610,-14.709,28.497
0.308,-0.362,-0.877,9.094,0.366,-15.137,28.497
0.301,-0.332,-0.874,8.728,-0.061,-15.320,28.497
0.308,-0.320,-0.895,8.789,-0.427,-14.954,28.497
0.359,-0.315,-0.911,8.301,-1.038,-15.137,28.497
0.360,-0.313,-0.969,8.362,-1.465,-15.015,28.497
0.349,-0.299,-1.040,8.606,-0.916,-14.771,28.497
0.322,-0.294,-0.998,8.728,0.183,-15.137,28.497
0.313,-0.293,-0.895,8.606,0.549,-15.076,28.497
0.290,-0.229,-0.892,8.118,0.000,-15.259,28.497
0.337,-0.166,-0.996,8.301,-0.977,-15.320,28.497
0.332,-0.117,-1.053,8.057,-0.732,-15.198,28.497
0.351,-0.119,-1.079,7.812,-0.549,-15.259,28.497
0.339,-0.157,-1.067,6.287,-0.183,-15.320,28.497
0.342,-0.204,-1.049,5.615,0.061,-15.381,28.497
0.330,-0.227,-0.998,5.981,0.427,-15.442,28.497
0.318,-0.232,-0.945,5.981,1.343,-15.625,28.497
0.273,-0.234,-0.894,5.554,0.793,-15.625,28.497
0.315,-0.237,-0.962,4.761,-0.305,-15.686,28.497
0.375,-0.221,-1.018,4.517,-0.793,-15.686,28.497
0.383,-0.229,-0.998,3.723,-0.244,-15.930,28.497
0.305,-0.232,-0.980,3.967,0.610,-16.602,28.497
0.335,-0.228,-0.976,3.540,0.305,-16.113,28.497
0.342,-0.211,-0.932,3.540,0.610,-16.418,28.497
0.273,-0.216,-0.880,2.991,0.427,-16.602,28.497
0.260,-0.243,-0.979,2.258,-0.671,-16.785,28.497
0.286,-0.284,-0.975,2.258,-1.160,-16.724,28.497
0.261,-0.291,-1.035,2.625,-0.854,-16.907,28.497
0.217,-0.259,-1.046,2.625,-0.610,-16.602,28.497
0.257,-0.263,-1.024,2.563,-0.183,-16.602,28.497
0.296,-0.260,-0.836,2.502,1.343,-16.785,28.497
0.265,-0.265,-0.816,2.258,0.854,-16.541,28.497
0.280,-0.280,-0.854,2.136,-0.549,-16.357,28.497
0.340,-0.296,-0.973,2.014,-1.282,-16.724,28.497
0.365,-0.318,-1.057,2.380,-0.916,-16.663,28.497
0.333,-0.329,-1.001,2.380,-0.061,-16.846,28.497
0.285,-0.319,-1.018,2.502,-0.122,-16.785,28.497
0.300,-0.317,-0.912,2.686,0.183,-16.785,28.497
0.315,-0.301,-0.817,3.235,1.038,-16.724,28.497
0.285,-0.254,-0.808,3.540,0.427,-16.724,28.497
0.288,-0.290,-0.944,3.296,-1.038,-16.785,28.497
0.319,-0.388,-1.003,2.563,-0.549,-16.846,28.497
0.311,-0.395,-0.969,3.723,0.061,-16.785,28.497
0.291,-0.382,-1.034,4.639,-0.671,-16.357,28.497
0.272,-0.412,-0.926,3.845,0.305,-16.785,28.497
0.266,-0.430,-0.823,4.150,0.488,-16.663,28.497
0.250,-0.368,-0.854,5.310,0.488,-16.174,28.497
0.246,-0.357,-0.910,5.188,0.183,-16.541,28.497
0.226,-0.426,-0.927,4.211,-0.122,-16.785,28.497
0.327,-0.404,-0.925,4.517,-0.244,-16.602,28.497
0.355,-0.355,-0.954,5.676,0.366,-16.418,28.497
0.245,-0.378,-0.811,5.310,1.709,-16.602,28.497
0.202,-0.425,-0.699,5.371,0.916,-16.663,28.497
0.278,-0.406,-0.784,5.981,-0.610,-16.479,28.315
0.271,-0.353,-0.818,5.981,-0.793,-16.418,28.315
0.230,-0.321,-0.856,6.409,-0.671,-16.479,28.315
0.231,-0.405,-0.922,5.981,-1.221,-16.418,28.315
0.246,-0.474,-0.862,5.554,15.259,-16.357,28.315
0.204,-0.464,-0.774,7.263,0.244,-16.052,28.315
0.188,-0.442,-0.770,7.446,-0.549,-16.113,28.315
0.224,-0.420,-0.825,7.446,-1.343,-15.869,28.315
0.257,-0.383,-0.839,8.423,-0.916,-15.442,28.315
0.271,-0.320,-0.878,9.094,-1.038,-15.381,28.315
0.272,-0.273,-0.972,8.667,-1.587,-15.320,28.315
0.289,-0.286,-1.053,8.667,-1.831,-15.198,28.315
0.383,-0.408,-0.958,7.751,-0.732,-15.198,28.315
0.380,-0.499,-0.867,7.812,0.549,-15.259,28.315
0.333,-0.438,-0.891,8.240,-15.564,-14.954,28.315
0.377,-0.375,-1.108,9.583,-1.892,-15.076,28.315
0.445,-0.357,-1.119,9.033,-0.916,-15.137,28.315
0.401,-0.303,-0.850,9.033,0.793,-15.076,28.315
0.323,-0.193,-0.782,9.338,-0.061,-15.198,28.315
0.302,-0.180,-0.901,8.728,-1.526,-15.503,28.315
0.294,-0.311,-0.952,7.080,-1.404,-15.686,28.315
0.249,-0.379,-0.883,5.920,-0.427,-15.808,28.315
0.189,-0.290,-0.965,7.324,-1.099,-15.442,28.315
0.232,-0.233,-1.079,7.507,-1.892,-15.442,28.315
0.309,-0.260,-1.043,6.348,-0.916,-15.747,28.315
0.335,-0.237,-0.908,6.531,0.793,-15.686,28.315
0.265,-0.178,-0.842,7.080,1.465,-15.930,28.315
0.203,-0.210,-0.810,5.432,0.061,-16.113,28.315
0.218,-0.324,-0.773,3.784,-0.977,-16.296,28.315
0.304,-0.344,-0.815,4.700,-2.136,-15.625,28.315
0.330,-0.268,-0.931,6.104,-1.465,-15.259,28.315
0.263,-0.286,-0.870,5.615,-0.305,-15.869,28.315
0.211,-0.343,-0.836,4.272,-1.160,-15.869,28.315
0.253,-0.311,-0.955,4.761,-2.014,-15.747,28.315
0.253,-0.281,-0.995,5.615,-2.014,-15.869,28.315
0.238,-0.358,-0.930,5.249,-1.709,-15.930,28.315
0.235,-0.394,-0.924,4.761,-1.953,-15.381,28.315
